study_id,head_model,mean,P95,P99,volume_pct_above_75pct_of_P95,top1_region_number,top1_region_name,top1_region_value_P95,top2_region_number,top2_region_name,top2_region_value_P95,top3_region_number,top3_region_name,top3_region_value_P95,top4_region_number,top4_region_name,top4_region_value_P95,top5_region_number,top5_region_name,top5_region_value_P95
B65_AFz,coils_setups,0.07607307283463764,0.2346247219862751,0.4036989326291333,8.853411213277194,102,Right Frontal Pole,0.5511034850424278,101,Left Frontal Pole,0.5311673227210447,105,Left Superior Frontal Gyrus,0.40210381811099194,106,Right Superior Frontal Gyrus,0.38563449579195974,150,Right Frontal Medial Cortex,0.2971604771820614
B65_F3,coils_setups,0.08862380956640656,0.2663885237920267,0.5167174432992098,8.77139388201928,107,Left Middle Frontal Gyrus,0.8624681641236475,101,Left Frontal Pole,0.756408352831896,109,"Left Inferior Frontal Gyrus, pars triangularis",0.48754083510504564,111,"Left Inferior Frontal Gyrus, pars opercularis",0.4510296278037026,113,Left Precentral Gyrus,0.4307940609811554
B65_F5,coils_setups,0.09342853496780987,0.29749978285988554,0.5821640098994015,8.180458063909466,101,Left Frontal Pole,0.8849012487802149,109,"Left Inferior Frontal Gyrus, pars triangularis",0.8655535240252678,111,"Left Inferior Frontal Gyrus, pars opercularis",0.7522005063475952,107,Left Middle Frontal Gyrus,0.690957937444303,113,Left Precentral Gyrus,0.5559932573955836
B65_F6,coils_setups,0.09257788778749064,0.29948215300922676,0.5885013392891552,8.376784415832535,110,"Right Inferior Frontal Gyrus, pars triangularis",1.0027503428101372,102,Right Frontal Pole,0.8767308934226831,112,"Right Inferior Frontal Gyrus, pars opercularis",0.7011690248637087,108,Right Middle Frontal Gyrus,0.6574160826305507,114,Right Precentral Gyrus,0.608711193063753
D70_AFz,coils_setups,0.11502774776482043,0.3332051194755346,0.554486926080285,9.086519355939664,102,Right Frontal Pole,0.7202967315847504,101,Left Frontal Pole,0.7165781026069162,105,Left Superior Frontal Gyrus,0.5587030228296832,106,Right Superior Frontal Gyrus,0.5385586540734525,150,Right Frontal Medial Cortex,0.4382417826787453
D70_F3,coils_setups,0.1376335343133694,0.39506433712117034,0.7162920292882236,9.252869235306717,107,Left Middle Frontal Gyrus,1.139421534548344,101,Left Frontal Pole,1.0125479032225881,109,"Left Inferior Frontal Gyrus, pars triangularis",0.6729468012705271,113,Left Precentral Gyrus,0.6377351854268304,111,"Left Inferior Frontal Gyrus, pars opercularis",0.6184453292587452
H4_Fz,coils_setups,0.6229553977266765,1.4123158066996933,1.8332328789742975,14.259867569287529,101,Left Frontal Pole,2.006515010799478,114,Right Precentral Gyrus,1.9631011865408634,108,Right Middle Frontal Gyrus,1.9158170557349266,107,Left Middle Frontal Gyrus,1.8801059096969301,102,Right Frontal Pole,1.8195667818013255
MCB70_F4,coils_setups,0.1203558150324848,0.39910629795019387,0.7677132030550254,8.691725144597147,108,Right Middle Frontal Gyrus,1.2402685205977386,102,Right Frontal Pole,1.1359742986000625,112,"Right Inferior Frontal Gyrus, pars opercularis",0.6772565873070887,114,Right Precentral Gyrus,0.6763705775571334,110,"Right Inferior Frontal Gyrus, pars triangularis",0.6134813072337828
MCB70_F5,coils_setups,0.12597502776102307,0.4292303126615264,0.8647799432958889,7.931862087492163,101,Left Frontal Pole,1.3331012462183116,109,"Left Inferior Frontal Gyrus, pars triangularis",1.2957386510512643,111,"Left Inferior Frontal Gyrus, pars opercularis",1.132248589161404,107,Left Middle Frontal Gyrus,1.0255506468272677,113,Left Precentral Gyrus,0.8334506471396532
MCB70_F6,coils_setups,0.12490780661810859,0.43182842995773263,0.8669827894421942,8.119508824372442,110,"Right Inferior Frontal Gyrus, pars triangularis",1.5129227212454834,102,Right Frontal Pole,1.317558453684763,112,"Right Inferior Frontal Gyrus, pars opercularis",1.0625041455834687,108,Right Middle Frontal Gyrus,0.9599897908408888,114,Right Precentral Gyrus,0.8700051752885992
MCFB65_F3,coils_setups,0.08762151482098403,0.2631549739202739,0.5053418369746477,8.826530515547223,107,Left Middle Frontal Gyrus,0.8103347008592368,101,Left Frontal Pole,0.7566864343358302,109,"Left Inferior Frontal Gyrus, pars triangularis",0.4646123506091673,111,"Left Inferior Frontal Gyrus, pars opercularis",0.4219034187577983,113,Left Precentral Gyrus,0.40054324181730155
MCFB65_F4,coils_setups,0.08684791967637617,0.26922330238586223,0.5008174578685958,9.056560361254883,108,Right Middle Frontal Gyrus,0.7779872201388182,102,Right Frontal Pole,0.7380480496703996,112,"Right Inferior Frontal Gyrus, pars opercularis",0.43392276744082353,114,Right Precentral Gyrus,0.4314384791606702,110,"Right Inferior Frontal Gyrus, pars triangularis",0.4266313785668336
