study_id,head_model,mean,P95,P99,volume_pct_above_75pct_of_P95,top1_region_number,top1_region_name,top1_region_value_P95,top2_region_number,top2_region_name,top2_region_value_P95,top3_region_number,top3_region_name,top3_region_value_P95,top4_region_number,top4_region_name,top4_region_value_P95,top5_region_number,top5_region_name,top5_region_value_P95
abdelrahman2021,ernie,6.958718462835739,19.974358069405564,36.215553090725635,9.252869235306717,107,Left Middle Frontal Gyrus,57.60887932559605,101,Left Frontal Pole,51.194178975437595,109,"Left Inferior Frontal Gyrus, pars triangularis",34.02402876500559,113,Left Precentral Gyrus,32.24373791873555,111,"Left Inferior Frontal Gyrus, pars opercularis",31.268447420443064
addicott2024,ernie,6.480760926854557,19.987975693160415,34.39162073133059,8.853411213277194,102,Right Frontal Pole,46.94920028115507,101,Left Frontal Pole,45.25081349343227,105,Left Superior Frontal Gyrus,34.25573091568624,106,Right Superior Frontal Gyrus,32.85268859598463,150,Right Frontal Medial Cortex,25.315475473341177
amiaz2009,ernie,8.698398078544667,24.967947586756836,45.26944136340707,9.252869235306717,107,Left Middle Frontal Gyrus,72.01109915699494,101,Left Frontal Pole,63.99272371929682,109,"Left Inferior Frontal Gyrus, pars triangularis",42.53003595625695,113,Left Precentral Gyrus,40.304672398419854,111,"Left Inferior Frontal Gyrus, pars opercularis",39.085559275554424
bellini2024,ernie,20.071622914753522,45.50481529186423,59.06676336055157,14.259867569287529,101,Left Frontal Pole,64.64991364795974,114,Right Precentral Gyrus,63.25112023034636,108,Right Middle Frontal Gyrus,61.727625535779026,107,Left Middle Frontal Gyrus,60.57701241043569,102,Right Frontal Pole,58.62644170963894
bidzinski2022_L,ernie,6.512150138614192,20.736312014912773,40.57796088816701,8.180458063909466,101,Left Frontal Pole,61.679333748403415,109,"Left Inferior Frontal Gyrus, pars triangularis",60.33075979839841,111,"Left Inferior Frontal Gyrus, pars opercularis",52.42983456140953,107,Left Middle Frontal Gyrus,48.1611086982665,113,Left Precentral Gyrus,38.753808667391496
bidzinski2022_R,ernie,6.452858379890405,20.874487060119925,41.019685041051765,8.376784415832535,110,"Right Inferior Frontal Gyrus, pars triangularis",69.89364422953174,102,Right Frontal Pole,61.10984412949483,112,"Right Inferior Frontal Gyrus, pars opercularis",48.87284130090886,108,Right Middle Frontal Gyrus,45.82317634654974,114,Right Precentral Gyrus,42.42835105625815
dieler2014,ernie,5.15878722857439,17.106813427779723,32.90633747990691,8.691725144597147,108,Right Middle Frontal Gyrus,53.16138154467676,102,Right Frontal Pole,48.69103916603475,112,"Right Inferior Frontal Gyrus, pars opercularis",29.029113650426243,114,Right Precentral Gyrus,28.991136791715864,110,"Right Inferior Frontal Gyrus, pars triangularis",26.295526575700265
dinurklein2014_high,ernie,20.071622914753522,45.50481529186423,59.06676336055157,14.259867569287529,101,Left Frontal Pole,64.64991364795974,114,Right Precentral Gyrus,63.25112023034636,108,Right Middle Frontal Gyrus,61.727625535779026,107,Left Middle Frontal Gyrus,60.57701241043569,102,Right Frontal Pole,58.62644170963894
dinurklein2014_low,ernie,20.071622914753522,45.50481529186423,59.06676336055157,14.259867569287529,101,Left Frontal Pole,64.64991364795974,114,Right Precentral Gyrus,63.25112023034636,108,Right Middle Frontal Gyrus,61.727625535779026,107,Left Middle Frontal Gyrus,60.57701241043569,102,Right Frontal Pole,58.62644170963894
eichhammer2003,ernie,7.828558270690213,22.471152828080985,40.74249722706631,9.252869235306717,107,Left Middle Frontal Gyrus,64.8099892412955,101,Left Frontal Pole,57.59345134736708,109,"Left Inferior Frontal Gyrus, pars triangularis",38.277032360631246,113,Left Precentral Gyrus,36.27420515857769,111,"Left Inferior Frontal Gyrus, pars opercularis",35.177003347998564
