study_id,head_model,mean,P95,P99,volume_pct_above_75pct_of_P95,top1_region_number,top1_region_name,top1_region_value_P95,top2_region_number,top2_region_name,top2_region_value_P95,top3_region_number,top3_region_name,top3_region_value_P95,top4_region_number,top4_region_name,top4_region_value_P95,top5_region_number,top5_region_name,top5_region_value_P95
abdelrahman2021,smoker_f,8.384657043836793,23.247361667387427,45.181131025634876,9.247168085670783,107,Left Middle Frontal Gyrus,77.08850641440824,101,Left Frontal Pole,61.78553583107323,111,"Left Inferior Frontal Gyrus, pars opercularis",49.62419722006173,113,Left Precentral Gyrus,48.81967277898449,109,"Left Inferior Frontal Gyrus, pars triangularis",47.24308594020371
addicott2024,smoker_f,7.463826883167107,20.941708545866796,35.382177320575245,9.311163659246393,102,Right Frontal Pole,51.64697238855134,101,Left Frontal Pole,49.09923595149579,106,Right Superior Frontal Gyrus,38.826569932435696,105,Left Superior Frontal Gyrus,35.77369646930371,107,Left Middle Frontal Gyrus,28.151503394201146
amiaz2009,smoker_f,10.480821304796,29.059202084234393,56.476413782043366,9.247168085670783,107,Left Middle Frontal Gyrus,96.36063301801039,101,Left Frontal Pole,77.23191978884185,111,"Left Inferior Frontal Gyrus, pars opercularis",62.03024652507715,113,Left Precentral Gyrus,61.02459097373052,109,"Left Inferior Frontal Gyrus, pars triangularis",59.05385742525458
bellini2024,smoker_f,22.02568302576073,50.43677840315333,68.87505536700274,13.916424690242415,110,"Right Inferior Frontal Gyrus, pars triangularis",79.85208434550519,114,Right Precentral Gyrus,74.22013841738112,101,Left Frontal Pole,73.74334622009034,109,"Left Inferior Frontal Gyrus, pars triangularis",73.12036820502668,107,Left Middle Frontal Gyrus,72.82667418738802
bidzinski2022_L,smoker_f,7.747023575734402,24.619588536563207,50.8716072012427,8.229126636758382,109,"Left Inferior Frontal Gyrus, pars triangularis",94.87563474258106,111,"Left Inferior Frontal Gyrus, pars opercularis",88.10633445104943,101,Left Frontal Pole,78.56787283976657,107,Left Middle Frontal Gyrus,65.82747212042676,113,Left Precentral Gyrus,55.59292998825604
bidzinski2022_R,smoker_f,7.546509379741606,23.30289142889852,48.45991507241709,8.32402781796574,110,"Right Inferior Frontal Gyrus, pars triangularis",109.79124539239398,112,"Right Inferior Frontal Gyrus, pars opercularis",78.11238796803097,102,Right Frontal Pole,69.43004594697109,114,Right Precentral Gyrus,55.810706917492894,118,"Right Superior Temporal Gyrus, anterior division",53.93224892654559
dieler2014,smoker_f,6.019437656221202,18.228636152936634,38.22150780752779,8.676957042917703,108,Right Middle Frontal Gyrus,64.99817763271919,102,Right Frontal Pole,58.89342617641406,114,Right Precentral Gyrus,44.259419034740574,110,"Right Inferior Frontal Gyrus, pars triangularis",43.31390183650253,112,"Right Inferior Frontal Gyrus, pars opercularis",41.61660523728081
dinurklein2014_high,smoker_f,22.02568302576073,50.43677840315333,68.87505536700274,13.916424690242415,110,"Right Inferior Frontal Gyrus, pars triangularis",79.85208434550519,114,Right Precentral Gyrus,74.22013841738112,101,Left Frontal Pole,73.74334622009034,109,"Left Inferior Frontal Gyrus, pars triangularis",73.12036820502668,107,Left Middle Frontal Gyrus,72.82667418738802
dinurklein2014_low,smoker_f,22.02568302576073,50.43677840315333,68.87505536700274,13.916424690242415,110,"Right Inferior Frontal Gyrus, pars triangularis",79.85208434550519,114,Right Precentral Gyrus,74.22013841738112,101,Left Frontal Pole,73.74334622009034,109,"Left Inferior Frontal Gyrus, pars triangularis",73.12036820502668,107,Left Middle Frontal Gyrus,72.82667418738802
du2024,smoker_f,8.328373985649376,21.83615954014592,36.209381816143775,9.838868280375143,102,Right Frontal Pole,49.95996414494764,101,Left Frontal Pole,49.05255500481587,106,Right Superior Frontal Gyrus,39.88608585686665,105,Left Superior Frontal Gyrus,36.18698439059956,155,Left Paracingulate Gyrus,28.18117039974275
eichhammer2003,smoker_f,9.432739174316405,26.153281875810848,50.82877240383875,9.247168085670783,107,Left Middle Frontal Gyrus,86.72456971620925,101,Left Frontal Pole,69.5087278099573,111,"Left Inferior Frontal Gyrus, pars opercularis",55.827221872569396,113,Left Precentral Gyrus,54.92213187635727,109,"Left Inferior Frontal Gyrus, pars triangularis",53.148471682729145
kamp2018,smoker_f,9.48574382094977,27.83560910288809,55.49948305473649,8.701672868935505,107,Left Middle Frontal Gyrus,98.59669701211496,101,Left Frontal Pole,82.54578546956532,111,"Left Inferior Frontal Gyrus, pars opercularis",59.90812374529218,109,"Left Inferior Frontal Gyrus, pars triangularis",57.600513211633604,113,Left Precentral Gyrus,54.4966106239075
lechner2022,smoker_f,10.480821304796,29.059202084234393,56.476413782043366,9.247168085670783,107,Left Middle Frontal Gyrus,96.36063301801039,101,Left Frontal Pole,77.23191978884185,111,"Left Inferior Frontal Gyrus, pars opercularis",62.03024652507715,113,Left Precentral Gyrus,61.02459097373052,109,"Left Inferior Frontal Gyrus, pars triangularis",59.05385742525458
li2026_high,smoker_f,8.476226451128868,24.9688777659846,50.5888224172666,8.653371612504635,107,Left Middle Frontal Gyrus,92.45153947710489,101,Left Frontal Pole,72.4153067522982,111,"Left Inferior Frontal Gyrus, pars opercularis",55.53866693398738,109,"Left Inferior Frontal Gyrus, pars triangularis",52.632778904820945,113,Left Precentral Gyrus,52.341424901840014
li2026_high_MNI,smoker_f,9.530113583086216,29.248631997067463,60.91870233810302,8.519626891736062,111,"Left Inferior Frontal Gyrus, pars opercularis",108.16483350901858,109,"Left Inferior Frontal Gyrus, pars triangularis",104.14209137659263,107,Left Middle Frontal Gyrus,89.97144960396645,113,Left Precentral Gyrus,82.28396511690195,101,Left Frontal Pole,72.67559457781648
li2026_low,smoker_f,6.785297166515561,19.037916859878926,32.16561574597781,9.311163659246393,102,Right Frontal Pole,46.95179308050089,101,Left Frontal Pole,44.63566904681412,106,Right Superior Frontal Gyrus,35.296881756759916,105,Left Superior Frontal Gyrus,32.52154224482171,107,Left Middle Frontal Gyrus,25.592275812910312
