study_id,head_model,mean,P95,P99,volume_pct_above_75pct_of_P95,top1_region_number,top1_region_name,top1_region_value_P95,top2_region_number,top2_region_name,top2_region_value_P95,top3_region_number,top3_region_name,top3_region_value_P95,top4_region_number,top4_region_name,top4_region_value_P95,top5_region_number,top5_region_name,top5_region_value_P95
abdelrahman2021,smoker_m,7.286385482070612,20.661555914493643,38.606870667889346,8.9490295801308,107,Left Middle Frontal Gyrus,64.43845058409588,101,Left Frontal Pole,53.12356120290848,109,"Left Inferior Frontal Gyrus, pars triangularis",45.39979449555779,111,"Left Inferior Frontal Gyrus, pars opercularis",38.49394191851709,113,Left Precentral Gyrus,36.78304596930712
addicott2024,smoker_m,6.685064531121983,19.583361014499467,34.714995258467255,9.263848404492851,102,Right Frontal Pole,49.55078059526921,101,Left Frontal Pole,47.59203111959755,105,Left Superior Frontal Gyrus,33.285575619184236,106,Right Superior Frontal Gyrus,30.32292897700808,156,Right Paracingulate Gyrus,26.94875461172097
amiaz2009,smoker_m,9.10798185258826,25.826944893117037,48.25858833486221,8.9490295801308,107,Left Middle Frontal Gyrus,80.5480632301198,101,Left Frontal Pole,66.40445150363549,109,"Left Inferior Frontal Gyrus, pars triangularis",56.74974311944701,111,"Left Inferior Frontal Gyrus, pars opercularis",48.11742739814627,113,Left Precentral Gyrus,45.97880746163357
bellini2024,smoker_m,19.465099360564476,45.307296241239314,61.751941361055906,14.025081416321616,110,"Right Inferior Frontal Gyrus, pars triangularis",74.69820099506828,111,"Left Inferior Frontal Gyrus, pars opercularis",68.20134409338387,109,"Left Inferior Frontal Gyrus, pars triangularis",67.96706797863898,114,Right Precentral Gyrus,67.86301536596834,107,Left Middle Frontal Gyrus,67.4055454470492
bidzinski2022_L,smoker_m,6.3599222263373765,20.62683887328069,39.8166888793518,7.91577291753013,109,"Left Inferior Frontal Gyrus, pars triangularis",78.6505987675428,111,"Left Inferior Frontal Gyrus, pars opercularis",63.091979696918465,107,Left Middle Frontal Gyrus,60.28505901319814,101,Left Frontal Pole,55.17334936073273,181,Left Frontal Opercular Cortex,40.71574113521189
bidzinski2022_R,smoker_m,6.404813783838192,20.18810293345147,39.63823003002891,8.17233001005984,110,"Right Inferior Frontal Gyrus, pars triangularis",87.14395050731144,102,Right Frontal Pole,55.56013617936086,112,"Right Inferior Frontal Gyrus, pars opercularis",52.23974493866437,108,Right Middle Frontal Gyrus,43.128010690573554,114,Right Precentral Gyrus,42.52334126688649
dieler2014,smoker_m,5.467344359080703,17.528441564223662,34.87444738346868,8.35567646855466,102,Right Frontal Pole,53.729406454572946,108,Right Middle Frontal Gyrus,48.99787661544613,110,"Right Inferior Frontal Gyrus, pars triangularis",38.75402727488367,114,Right Precentral Gyrus,36.262331215764924,112,"Right Inferior Frontal Gyrus, pars opercularis",32.21669247962358
dinurklein2014_high,smoker_m,19.465099360564476,45.307296241239314,61.751941361055906,14.025081416321616,110,"Right Inferior Frontal Gyrus, pars triangularis",74.69820099506828,111,"Left Inferior Frontal Gyrus, pars opercularis",68.20134409338387,109,"Left Inferior Frontal Gyrus, pars triangularis",67.96706797863898,114,Right Precentral Gyrus,67.86301536596834,107,Left Middle Frontal Gyrus,67.4055454470492
dinurklein2014_low,smoker_m,19.465099360564476,45.307296241239314,61.751941361055906,14.025081416321616,110,"Right Inferior Frontal Gyrus, pars triangularis",74.69820099506828,111,"Left Inferior Frontal Gyrus, pars opercularis",68.20134409338387,109,"Left Inferior Frontal Gyrus, pars triangularis",67.96706797863898,114,Right Precentral Gyrus,67.86301536596834,107,Left Middle Frontal Gyrus,67.4055454470492
du2024,smoker_m,7.522194919890898,20.987002374099635,36.05440186534032,9.481302204637576,102,Right Frontal Pole,48.983177063189345,101,Left Frontal Pole,48.49455580816099,105,Left Superior Frontal Gyrus,35.027660926256544,106,Right Superior Frontal Gyrus,32.20965040604594,156,Right Paracingulate Gyrus,28.14774626417085
eichhammer2003,smoker_m,8.197183667329423,23.244250403805314,43.432729501375356,8.9490295801308,107,Left Middle Frontal Gyrus,72.4932569071078,101,Left Frontal Pole,59.76400635327201,109,"Left Inferior Frontal Gyrus, pars triangularis",51.07476880750248,111,"Left Inferior Frontal Gyrus, pars opercularis",43.30568465833153,113,Left Precentral Gyrus,41.38092671546966
kamp2018,smoker_m,8.123779466239395,24.287517304930716,46.569747215830816,8.530158872310416,107,Left Middle Frontal Gyrus,80.91207833738353,101,Left Frontal Pole,69.06744016773621,109,"Left Inferior Frontal Gyrus, pars triangularis",53.07065507524449,105,Left Superior Frontal Gyrus,44.76650684395653,111,"Left Inferior Frontal Gyrus, pars opercularis",44.12541886920458
lechner2022,smoker_m,9.10798185258826,25.826944893117037,48.25858833486221,8.9490295801308,107,Left Middle Frontal Gyrus,80.5480632301198,101,Left Frontal Pole,66.40445150363549,109,"Left Inferior Frontal Gyrus, pars triangularis",56.74974311944701,111,"Left Inferior Frontal Gyrus, pars opercularis",48.11742739814627,113,Left Precentral Gyrus,45.97880746163357
li2026_high,smoker_m,7.188707688512377,21.435117796085713,42.15777562585053,8.548418327678077,107,Left Middle Frontal Gyrus,74.6546614433267,101,Left Frontal Pole,60.731803543590374,109,"Left Inferior Frontal Gyrus, pars triangularis",47.68450044276452,111,"Left Inferior Frontal Gyrus, pars opercularis",41.140050045279466,105,Left Superior Frontal Gyrus,39.36404861598369
li2026_high_MNI,smoker_m,7.277261878128437,20.811450025167822,41.35643385281718,9.21639373819634,107,Left Middle Frontal Gyrus,68.87496039330563,101,Left Frontal Pole,56.17399335909471,105,Left Superior Frontal Gyrus,53.042169388518346,113,Left Precentral Gyrus,34.32516133050767,109,"Left Inferior Frontal Gyrus, pars triangularis",32.02954835579143
li2026_low,smoker_m,6.077331391929079,17.803055467726754,31.559086598606644,9.263848404492851,102,Right Frontal Pole,45.04616417751713,101,Left Frontal Pole,43.265482835997254,105,Left Superior Frontal Gyrus,30.2596141992586,106,Right Superior Frontal Gyrus,27.56629907000735,156,Right Paracingulate Gyrus,24.498867828837316
li2026_low_MNI,smoker_m,6.234627676987796,19.11650237340411,37.64675107919121,8.862954776367399,101,Left Frontal Pole,58.9817849540724,107,Left Middle Frontal Gyrus,40.64908658943879,105,Left Superior Frontal Gyrus,37.024176518431325,102,Right Frontal Pole,31.045399849774547,109,"Left Inferior Frontal Gyrus, pars triangularis",26.03804903266474
mikellides2022,smoker_m,7.188707688512377,21.435117796085713,42.15777562585053,8.548418327678077,107,Left Middle Frontal Gyrus,74.6546614433267,101,Left Frontal Pole,60.731803543590374,109,"Left Inferior Frontal Gyrus, pars triangularis",47.68450044276452,111,"Left Inferior Frontal Gyrus, pars opercularis",41.140050045279466,105,Left Superior Frontal Gyrus,39.36404861598369
moeller2022,smoker_m,19.465099360564476,45.307296241239314,61.751941361055906,14.025081416321616,110,"Right Inferior Frontal Gyrus, pars triangularis",74.69820099506828,111,"Left Inferior Frontal Gyrus, pars opercularis",68.20134409338387,109,"Left Inferior Frontal Gyrus, pars triangularis",67.96706797863898,114,Right Precentral Gyrus,67.86301536596834,107,Left Middle Frontal Gyrus,67.4055454470492
mousa2025,smoker_m,7.286385482070612,20.661555914493643,38.606870667889346,8.9490295801308,107,Left Middle Frontal Gyrus,64.43845058409588,101,Left Frontal Pole,53.12356120290848,109,"Left Inferior Frontal Gyrus, pars triangularis",45.39979449555779,111,"Left Inferior Frontal Gyrus, pars opercularis",38.49394191851709,113,Left Precentral Gyrus,36.78304596930712
prikryl2014,smoker_m,10.018780037847085,28.40963938242875,53.084447168347374,8.9490295801308,107,Left Middle Frontal Gyrus,88.60286955313187,101,Left Frontal Pole,73.04489665399937,109,"Left Inferior Frontal Gyrus, pars triangularis",62.42471743139208,111,"Left Inferior Frontal Gyrus, pars opercularis",52.92917013796109,113,Left Precentral Gyrus,50.576688207797105
sheffer2013,smoker_m,10.018780037847085,28.40963938242875,53.084447168347374,8.9490295801308,107,Left Middle Frontal Gyrus,88.60286955313187,101,Left Frontal Pole,73.04489665399937,109,"Left Inferior Frontal Gyrus, pars triangularis",62.42471743139208,111,"Left Inferior Frontal Gyrus, pars opercularis",52.92917013796109,113,Left Precentral Gyrus,50.576688207797105
